Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
1/29/2020,14:31:19,157,0,79,80,77,77,80,79,77,77,82,77,78,80
1/29/2020,14:31:19,365,1,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:19,563,2,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:19,765,3,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:19,965,4,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:20,157,5,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:20,364,6,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:20,567,7,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:20,764,8,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:20,968,9,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:21,165,10,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:21,364,11,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:21,564,12,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:21,764,13,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:21,964,14,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:22,165,15,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:22,368,16,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:22,565,17,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:22,765,18,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:22,966,19,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:23,168,20,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:23,365,21,79,80,76,77,79,79,76,77,82,77,78,80
1/29/2020,14:31:23,569,22,79,79,75,77,77,78,76,77,84,78,79,80
1/29/2020,14:31:23,766,23,79,79,76,77,75,77,74,76,84,78,80,81
1/29/2020,14:31:23,965,24,79,80,77,78,79,79,73,75,82,78,79,81
1/29/2020,14:31:24,166,25,79,80,76,78,78,79,74,77,82,78,78,81
1/29/2020,14:31:24,368,26,80,80,77,78,78,79,76,77,84,78,80,80
1/29/2020,14:31:24,566,27,81,82,78,79,78,80,71,78,84,79,80,82
1/29/2020,14:31:24,765,28,81,82,78,79,81,82,73,79,82,78,78,81
1/29/2020,14:31:24,966,29,80,80,78,78,81,80,78,77,83,78,78,80
1/29/2020,14:31:25,165,30,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:25,365,31,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:25,566,32,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:25,766,33,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:25,965,34,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:26,171,35,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:26,366,36,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:26,565,37,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:26,768,38,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:26,964,39,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:27,165,40,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:27,366,41,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:27,565,42,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:27,768,43,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:27,968,44,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:28,165,45,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:28,368,46,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:28,566,47,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:28,765,48,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:28,964,49,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:29,167,50,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:29,365,51,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:29,565,52,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:29,768,53,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:29,965,54,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:30,168,55,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:30,368,56,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:30,565,57,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:30,769,58,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:30,964,59,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:31,167,60,79,80,77,77,79,80,77,77,82,77,78,80
